symbols,security,GICS_sector,GICS_sub_industry,headquarters_location,date_added,founded,open,high,low,close,volumes,dividends,stock_splits
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1976-08-09,1902,174.85000610351562,176.60000610351562,174.25,174.72000122070312,2327500.0,0.0,0.0
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1888,135.92999267578125,136.0,132.0,132.94000244140625,8192600.0,0.0,0.0
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,2013 (1888),125.69999694824219,127.8499984741211,125.37999725341797,127.29000091552734,6380200.0,0.0,0.0
ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,1981,310.0,313.9800109863281,306.6000061035156,311.2699890136719,216700.0,0.0,0.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989,374.3800048828125,375.7799987792969,366.510009765625,369.7300109863281,2475200.0,0.0,0.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,2008,58.15999984741211,59.880001068115234,58.150001525878906,59.52000045776367,8791200.0,0.0,0.0
ADBE,Adobe,Information Technology,Application Software,"San Jose, California",1997-05-05,1982,635.3599853515625,636.0,599.0999755859375,614.8599853515625,5931100.0,0.0,0.0
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",,1969,131.6699981689453,137.24000549316406,130.60000610351562,135.60000610351562,50691000.0,0.0,0.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1932,234.1699981689453,236.30999755859375,233.14999389648438,235.38999938964844,791600.0,0.0,0.0
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,1981,23.799999237060547,24.040000915527344,23.510000228881836,23.610000610351562,5302500.0,0.0,0.0
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,1955,56.13999938964844,57.560001373291016,56.0099983215332,57.15999984741211,4002400.0,0.0,0.0
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1999,154.88999938964844,155.74000549316406,150.10000610351562,151.8800048828125,1869100.0,0.0,0.0
APD,Air Products & Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,1940,297.92999267578125,299.4599914550781,295.9200134277344,298.20001220703125,808500.0,0.0,0.0
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1998,112.66000366210938,115.06999969482422,112.20999908447266,114.23999786376953,1566800.0,0.0,0.0
ALK,Alaska Air Group,Industrials,Airlines,"Seattle, Washington",2016-05-13,1985,50.20000076293945,51.689998626708984,50.0099983215332,50.13999938964844,1555000.0,0.0,0.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,1994,245.94000244140625,247.64999389648438,239.7100067138672,243.8300018310547,1207700.0,0.0,0.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1994,214.07000732421875,214.07000732421875,209.3000030517578,211.99000549316406,643100.0,0.0,0.0
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1997,620.2000122070312,631.8200073242188,598.9199829101562,605.72998046875,668800.0,0.0,0.0
ALLE,Allegion,Industrials,Building Products,"New York City, New York",2013-12-02,1908,129.80999755859375,131.30999755859375,128.75,129.6300048828125,440300.0,0.0,0.0
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,1917,59.5099983215332,60.0099983215332,59.279998779296875,59.540000915527344,1224100.0,0.0,0.0
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,1931,108.4800033569336,111.52999877929688,108.05000305175781,110.70999908447266,2208900.0,0.0,0.0
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1998,2879.360107421875,2889.60009765625,2824.300048828125,2878.139892578125,1921300.0,0.0,0.0
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1998,2895.39990234375,2908.840087890625,2844.85009765625,2899.409912109375,1238200.0,0.0,0.0
MO,Altria Group,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,1985,45.2599983215332,45.75,45.130001068115234,45.400001525878906,10748900.0,0.0,0.0
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1994,3351.0,3389.97998046875,3328.800048828125,3381.830078125,2792100.0,0.0,0.0
AMCR,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,2019 (1860),11.710000038146973,11.859999656677246,11.649999618530273,11.670000076293945,6739200.0,0.0,0.0
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1902,88.1500015258789,88.33999633789062,87.11000061035156,87.19000244140625,1521300.0,0.0,0.0
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,1934,16.81999969482422,17.469999313354492,16.809999465942383,16.90999984741211,30089600.0,0.0,0.0
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,1906,85.23999786376953,85.55000305175781,84.58999633789062,85.12999725341797,2285700.0,0.0,0.0
AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,1850,162.13999938964844,165.25999450683594,161.05999755859375,162.85000610351562,2962400.0,0.0,0.0
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",1980-03-31,1919,53.75,55.09000015258789,53.650001525878906,54.65999984741211,5065200.0,0.0,0.0
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1995,274.4700012207031,278.1000061035156,271.010009765625,273.4100036621094,2224800.0,0.0,0.0
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1886,180.74000549316406,181.22000122070312,178.08999633789062,179.3000030517578,632400.0,0.0,0.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,1894,292.010009765625,296.1300048828125,291.20001220703125,292.239990234375,840400.0,0.0,0.0
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1985,122.2300033569336,125.1500015258789,122.2300033569336,123.30000305175781,999300.0,0.0,0.0
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1930,143.22000122070312,143.6999969482422,140.47000122070312,141.13999938964844,1022400.0,0.0,0.0
