rank,artist_name,lead_streams,featured_streams,tracks,1B+,100M+,10M+,1M+,last_update
1,Drake,43356538890,16099419102,249,4,115,241,244,12/11/21
2,Ed Sheeran,32539982801,2398782199,209,9,56,158,184,12/11/21
3,Bad Bunny,29908654750,4133673183,141,3,83,134,140,12/11/21
4,Ariana Grande,28363452316,1824125660,181,4,63,124,173,12/11/21
5,The Weeknd,27452412037,3448184791,148,6,64,126,140,12/11/21
6,Justin Bieber,26968605063,9911039466,221,5,52,165,192,12/11/21
7,Post Malone,26189133699,2125525866,82,8,52,65,66,12/11/21
8,Eminem,25818281724,3637871828,276,2,57,221,257,12/11/21
9,Taylor Swift,24364657704,323533210,318,1,68,243,308,12/11/21
10,J Balvin,22598090221,8889417392,230,2,62,135,210,12/11/21
11,BTS,22190090759,169104935,253,1,83,194,252,12/11/21
12,Kanye West,20664366681,4964138399,234,0,55,187,212,12/11/21
13,Billie Eilish,19754443047,0,62,3,41,57,61,12/11/21
14,Ozuna,18835938486,6831517037,206,1,46,146,188,12/08/21
15,Juice WRLD,18794365393,2800567319,113,1,53,95,112,12/11/21
16,Khalid,18747895938,2420401806,109,6,36,84,101,12/08/21
17,XXXTENTACION,18644138818,2343041807,130,5,38,103,119,12/11/21
18,Coldplay,18559704822,0,294,3,31,160,271,12/08/21
19,Travis Scott,18047615865,8455049378,112,3,42,90,105,12/08/21
20,Rihanna,17985060922,6396492263,273,1,43,107,198,12/11/21
21,Imagine Dragons,17964279753,57918900,145,4,36,100,127,12/11/21
22,Dua Lipa,17757319213,309727751,190,5,32,73,160,12/11/21
23,Maroon 5,17399139535,16850,236,3,28,103,193,12/10/21
24,Shawn Mendes,16684097425,105623541,125,4,30,93,120,12/11/21
25,David Guetta,16136589668,1036192382,649,1,41,128,354,11/27/21
26,Calvin Harris,15729735238,386294443,217,2,28,81,173,11/18/21
27,Daddy Yankee,15415342709,4807031565,342,3,38,84,200,12/09/21
28,Sam Smith,15162322757,261268993,139,3,30,79,129,12/11/21
29,Bruno Mars,15126334053,3385099540,78,4,28,60,72,12/10/21
30,Queen,14347764070,29023307,553,4,23,89,395,12/11/21
31,Kendrick Lamar,14261521087,7676842571,102,1,31,90,96,12/11/21
32,The Chainsmokers,14121239520,375225086,173,3,23,72,148,12/04/21
33,Chris Brown,13355479713,7669486512,393,0,36,183,322,12/11/21
34,Beyoncé,13322724124,1865434112,341,1,31,151,245,12/11/21
35,One Direction,13296110611,0,124,0,38,100,116,12/10/21
36,Sia,13186436464,2825253580,316,3,26,105,227,12/11/21
37,Future,13178656646,7971576300,459,1,25,202,333,12/01/21
38,Nicki Minaj,13070509431,9644794467,160,1,31,113,153,12/11/21
39,Lady Gaga,12758167724,84328406,306,1,26,104,185,12/11/21
40,Halsey,12581313009,2129255801,152,3,23,87,124,12/01/21
41,Selena Gomez,12557580928,1883303765,134,3,23,78,120,12/10/21
42,J. Cole,12516081836,2824024736,150,1,33,108,133,12/11/21
43,Anuel AA,12063303342,4036787266,153,0,31,111,145,12/11/21
44,The Beatles,11923032900,0,780,0,29,171,422,12/11/21
45,Maluma,11821779948,5268593742,180,0,31,119,173,12/11/21
46,Twenty One Pilots,11676802167,0,89,3,34,73,82,12/11/21
47,Adele,11365491280,30812399,70,2,23,59,69,12/11/21
48,Kygo,11279052360,1043069574,101,1,27,83,99,11/07/21
49,Linkin Park,11264118937,44186404,348,1,28,107,275,12/11/21
50,Marshmello,11247160026,492760970,142,4,17,83,131,11/07/21
51,Avicii,11197279323,428688738,245,1,17,86,156,12/07/21
52,Lil Uzi Vert,11197058383,5352429449,129,1,29,116,127,12/08/21
53,Katy Perry,10941125547,972790884,177,0,30,81,137,12/11/21
54,Camila Cabello,10143963524,2000112566,56,2,23,41,52,12/10/21
55,Farruko,10102532108,5818230057,332,0,28,111,268,11/18/21
56,Lana Del Rey,10075451113,623868924,161,0,28,108,149,12/11/21
57,Jason Derulo,9956052141,648835434,190,0,25,63,129,11/28/21
58,Demi Lovato,9446093141,1252700599,230,0,22,85,184,12/11/21
59,Red Hot Chili Peppers,9334447741,3258877,248,0,15,110,199,12/11/21
60,Nicky Jam,9110416354,7985255132,229,0,27,87,146,10/20/21
61,Arctic Monkeys,9081614398,2252939,133,1,18,85,133,12/11/21
62,Shakira,9009380633,1024105340,231,0,21,84,192,12/11/21
63,Rauw Alejandro,8756392747,1484499289,164,0,27,85,130,12/11/21
64,Martin Garrix,8594539985,78756129,181,1,16,76,144,12/10/21
65,OneRepublic,8567887528,202676848,144,1,25,71,128,12/11/21
66,Miley Cyrus,8388654642,828069994,175,0,16,83,153,12/11/21
67,Michael Jackson,8342778653,504351738,344,1,21,89,233,12/11/21
68,G-Eazy,8298454665,2176159021,224,1,15,110,204,12/02/21
69,Panic! At The Disco,8279658959,606041997,136,1,20,80,128,12/02/21
70,Harry Styles,8202036600,1281794,26,1,23,24,25,12/11/21
71,Pitbull,8182526321,2375302915,381,0,20,79,205,11/29/21
72,Major Lazer,8176520618,559897223,259,3,14,64,169,11/05/21
73,KAROL G,8137704510,484376712,78,1,22,53,73,12/11/21
74,Cardi B,8034758022,5705604717,66,1,16,48,63,12/11/21
75,Ellie Goulding,8024186718,631596545,165,1,16,67,131,12/11/21
76,Charlie Puth,7950962120,203374708,97,3,11,53,84,12/11/21
77,Lil Wayne,7837997240,12343878101,461,0,18,108,295,12/09/21
78,DaBaby,7790464582,4050074917,137,2,14,75,122,12/06/21
79,Wiz Khalifa,7762381404,5190230069,392,1,19,103,285,11/17/21
80,Sebastian Yatra,7739178371,759590398,101,0,26,71,94,12/11/21
81,Young Thug,7702984266,8178762868,351,0,17,120,215,12/09/21
82,Doja Cat,7676334569,1347012971,79,0,18,57,72,12/11/21
83,Logic,7535345993,1770059375,163,1,14,120,161,12/10/21
84,21 Savage,7522867816,4787757330,152,0,17,81,122,12/01/21
85,Migos,7514004214,3157590480,280,0,15,81,182,12/10/21
86,Lil Baby,7447101396,6811001983,165,0,17,108,153,12/11/21
87,Tyga,7399645529,3729570350,295,1,19,96,251,12/08/21
88,Alan Walker,7354379758,1616399695,136,1,16,60,106,10/15/21
89,John Mayer,7334326268,457716455,197,0,16,115,172,11/28/21
90,Fall Out Boy,7314691965,35304467,191,0,15,92,164,09/20/21
91,Metallica,7298533639,3139009,669,0,13,97,260,11/22/21
92,Mac Miller,7287255588,597672981,207,0,16,114,192,12/05/21
93,Diplo,7275258857,1460536064,354,0,21,80,191,09/04/21
94,P!nk,7243481656,531861663,237,0,21,81,159,12/11/21
95,Pop Smoke,7181627376,686094676,97,0,16,79,96,11/28/21
96,DJ Snake,7172104327,1841216494,140,2,10,50,98,12/03/21
97,ZAYN,7169035891,225279687,85,3,14,66,84,12/11/21
98,Sech,7135011726,2332284915,114,0,21,60,100,10/02/21
99,Macklemore,7129997905,79143091,101,1,13,58,93,11/12/21
100,Myke Towers,7121509006,3944838492,159,0,22,87,147,12/08/21
101,Lauv,7067513717,121257497,95,1,20,60,89,12/05/21
102,Lil Peep,7038811669,278004052,100,0,20,84,96,12/08/21
103,Zedd,7021125435,929636878,136,3,13,37,94,12/04/21
104,Little Mix,6984025750,8477165,209,0,18,98,155,12/11/21
105,James Arthur,6982853704,66637130,133,1,13,57,111,11/29/21
106,AC/DC,6978918649,0,309,0,10,77,237,12/11/21
107,Trippie Redd,6720896983,2561853217,185,0,21,114,170,11/30/21
108,A$AP Rocky,6705312924,4634128376,93,0,16,67,87,12/10/21
109,A Boogie Wit da Hoodie,6664545758,2742208214,126,0,15,95,119,12/11/21
110,5 Seconds of Summer,6656052279,480315160,159,1,12,90,156,12/08/21
111,Kodak Black,6633166478,1563883427,211,0,13,80,190,12/06/21
112,Lil Nas X,6625279531,0,33,2,10,29,32,12/10/21
113,NF,6575667497,121325942,81,1,14,81,81,12/09/21
114,Robin Schulz,6455681610,297810977,207,0,14,47,136,09/27/21
115,Justin Timberlake,6436314042,1869330877,170,1,13,65,110,12/11/21
116,Metro Boomin,6431804252,192718304,118,0,14,72,92,12/10/21
117,Bob Marley & The Wailers,6399195763,46834252,587,0,13,73,347,12/08/21
118,Romeo Santos,6397215685,1018090646,125,0,19,77,101,11/24/21
119,Frank Ocean,6385700822,2011665499,45,0,20,45,45,12/08/21
120,Green Day,6385018644,445994,364,0,12,75,294,12/06/21
121,Clean Bandit,6339123268,23119732,154,2,9,37,113,12/11/21
122,DJ Khaled,6306443125,175817766,165,1,13,56,120,11/14/21
123,Elton John,6274964547,289302787,892,0,14,53,236,12/03/21
