open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
1.55300000,1.55300000,1.76000000,1.76000000,1.18800000,1.18800000,1.27000000,1.27000000,3574177491.03999996,3574177491.03999996,2021-12-15
1.96500000,1.96500000,2.37800000,2.37800000,1.41600000,1.41600000,1.55400000,1.55400000,5739631243.14000034,5739631243.14000034,2021-11-30
2.11500000,2.11500000,2.37500000,2.37500000,1.80400000,1.80400000,1.96400000,1.96400000,4723845901.50000000,4723845901.50000000,2021-10-31
2.76800000,2.76800000,3.10100000,3.10100000,1.91010000,1.91010000,2.11500000,2.11500000,8927152050.96999931,8927152050.96999931,2021-09-30
1.31930000,1.31930000,2.97190000,2.97190000,1.26130000,1.26130000,2.76700000,2.76700000,11444421964.10000038,11444421964.10000038,2021-08-31
1.38530000,1.38530000,1.49550000,1.49550000,1.02020000,1.02020000,1.31930000,1.31930000,5288104011.50000000,5288104011.50000000,2021-07-31
1.73760000,1.73760000,1.88970000,1.88970000,1.00010000,1.00010000,1.38530000,1.38530000,10999524418.29999924,10999524418.29999924,2021-06-30
1.35300000,1.35300000,2.47000000,2.47000000,1.01000000,1.01000000,1.73730000,1.73730000,26585925581.40000153,26585925581.40000153,2021-05-31
1.19172000,1.19172000,1.55845000,1.55845000,0.92000000,0.92000000,1.35320000,1.35320000,13677561607.70000076,13677561607.70000076,2021-04-30
1.31279000,1.31279000,1.47299000,1.47299000,0.98500000,0.98500000,1.19191000,1.19191000,16877748221.00000000,16877748221.00000000,2021-03-31
0.34464000,0.34464000,1.48800000,1.48800000,0.33214000,0.33214000,1.31203000,1.31203000,29026842510.40000153,29026842510.40000153,2021-02-28
0.18134000,0.18134000,0.39740000,0.39740000,0.16793000,0.16793000,0.34475000,0.34475000,26916601734.70000076,26916601734.70000076,2021-01-31
0.17207000,0.17207000,0.19725000,0.19725000,0.12630000,0.12630000,0.18134000,0.18134000,16102604566.29999924,16102604566.29999924,2020-12-31
0.09296000,0.09296000,0.18300000,0.18300000,0.08793000,0.08793000,0.17204000,0.17204000,18309066700.90000153,18309066700.90000153,2020-11-30
0.10136000,0.10136000,0.11428000,0.11428000,0.08915000,0.08915000,0.09300000,0.09300000,7925056172.19999981,7925056172.19999981,2020-10-31
0.12250000,0.12250000,0.12812000,0.12812000,0.07545000,0.07545000,0.10136000,0.10136000,10747649370.20000076,10747649370.20000076,2020-09-30
0.13876000,0.13876000,0.15230000,0.15230000,0.10211000,0.10211000,0.12253000,0.12253000,9932053101.10000038,9932053101.10000038,2020-08-31
0.08300000,0.08300000,0.15464000,0.15464000,0.08240000,0.08240000,0.13878000,0.13878000,17087022379.29999924,17087022379.29999924,2020-07-31
0.07391000,0.07391000,0.09039000,0.09039000,0.06930000,0.06930000,0.08299000,0.08299000,11304081621.29999924,11304081621.29999924,2020-06-30
0.04751000,0.04751000,0.08650000,0.08650000,0.04250000,0.04250000,0.07390000,0.07390000,12360762001.79999924,12360762001.79999924,2020-05-31
0.03045000,0.03045000,0.05439000,0.05439000,0.02942000,0.02942000,0.04752000,0.04752000,8386682581.89999962,8386682581.89999962,2020-04-30
0.04706000,0.04706000,0.05229000,0.05229000,0.01765000,0.01765000,0.03045000,0.03045000,11791622194.60000038,11791622194.60000038,2020-03-31
0.05390000,0.05390000,0.07231000,0.07231000,0.04620000,0.04620000,0.04710000,0.04710000,9541367906.29999924,9541367906.29999924,2020-02-29
0.03285000,0.03285000,0.05771000,0.05771000,0.03218000,0.03218000,0.05390000,0.05390000,6783477519.30000019,6783477519.30000019,2020-01-31
0.04032000,0.04032000,0.04035000,0.04035000,0.03032000,0.03032000,0.03285000,0.03285000,2897540853.59999990,2897540853.59999990,2019-12-31
0.04125000,0.04125000,0.04624000,0.04624000,0.03150000,0.03150000,0.04032000,0.04032000,4573163911.89999962,4573163911.89999962,2019-11-30
0.03888000,0.03888000,0.04492000,0.04492000,0.03513000,0.03513000,0.04126000,0.04126000,4841448381.50000000,4841448381.50000000,2019-10-31
0.04472000,0.04472000,0.05557000,0.05557000,0.03498000,0.03498000,0.03888000,0.03888000,4410426862.80000019,4410426862.80000019,2019-09-30
0.06006000,0.06006000,0.06035000,0.06035000,0.04312000,0.04312000,0.04473000,0.04473000,2562617127.30000019,2562617127.30000019,2019-08-31
0.08227000,0.08227000,0.08599000,0.08599000,0.04985000,0.04985000,0.06011000,0.06011000,3103759235.09999990,3103759235.09999990,2019-07-31
0.08906000,0.08906000,0.10687000,0.10687000,0.07695000,0.07695000,0.08226000,0.08226000,5601895593.69999981,5601895593.69999981,2019-06-30
0.07016000,0.07016000,0.10080000,0.10080000,0.05910000,0.05910000,0.08914000,0.08914000,5695670950.00000000,5695670950.00000000,2019-05-31
0.06984000,0.06984000,0.09976000,0.09976000,0.06401000,0.06401000,0.07010000,0.07010000,5974402391.89999962,5974402391.89999962,2019-04-30
