open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
622.50000000,622.50000000,649.80000000,649.80000000,489.20000000,489.20000000,530.40000000,530.40000000,17747836.80800000,17747836.80800000,2021-12-15
524.60000000,524.60000000,669.30000000,669.30000000,510.00000000,510.00000000,622.50000000,622.50000000,39485176.55960000,39485176.55960000,2021-11-30
387.50000000,387.50000000,540.50000000,540.50000000,381.50000000,381.50000000,524.60000000,524.60000000,36199498.16350000,36199498.16350000,2021-10-31
463.90000000,463.90000000,509.90000000,509.90000000,320.00000000,320.00000000,387.50000000,387.50000000,38737545.28240000,38737545.28240000,2021-09-30
332.38000000,332.38000000,518.94000000,518.94000000,317.02000000,317.02000000,463.90000000,463.90000000,47408854.23390000,47408854.23390000,2021-08-31
303.75000000,303.75000000,340.00000000,340.00000000,254.52000000,254.52000000,332.38000000,332.38000000,42951736.78140000,42951736.78140000,2021-07-31
353.37000000,353.37000000,433.00000000,433.00000000,225.42000000,225.42000000,303.71000000,303.71000000,81593138.71619999,81593138.71619999,2021-06-30
622.64000000,622.64000000,691.77000000,691.77000000,211.70000000,211.70000000,353.33000000,353.33000000,134587758.88000000,134587758.88000000,2021-05-31
302.45910000,302.45910000,638.56730000,638.56730000,300.70000000,300.70000000,622.65000000,622.65000000,128716600.92200001,128716600.92200001,2021-04-30
210.11770000,210.11770000,316.69970000,316.69970000,209.12040000,209.12040000,302.37240000,302.37240000,120847150.58600000,120847150.58600000,2021-03-31
44.32910000,44.32910000,348.69690000,348.69690000,43.43310000,43.43310000,210.21380000,210.21380000,232104898.34599999,232104898.34599999,2021-02-28
37.35960000,37.35960000,47.21870000,47.21870000,35.03740000,35.03740000,44.32920000,44.32920000,108574068.61300001,108574068.61300001,2021-01-31
31.49350000,31.49350000,39.99990000,39.99990000,26.72730000,26.72730000,37.35880000,37.35880000,81889998.06000000,81889998.06000000,2020-12-31
28.50580000,28.50580000,35.43380000,35.43380000,25.74990000,25.74990000,31.49350000,31.49350000,80529464.34400000,80529464.34400000,2020-11-30
29.26960000,29.26960000,32.37880000,32.37880000,25.66520000,25.66520000,28.50580000,28.50580000,81019513.87100001,81019513.87100001,2020-10-31
23.14810000,23.14810000,33.38880000,33.38880000,18.01100000,18.01100000,29.26560000,29.26560000,145525582.49399999,145525582.49399999,2020-09-30
20.66370000,20.66370000,23.91000000,23.91000000,19.10000000,19.10000000,23.14770000,23.14770000,77626733.03000000,77626733.03000000,2020-08-31
15.39590000,15.39590000,20.85500000,20.85500000,15.07430000,15.07430000,20.66150000,20.66150000,69123483.09999999,69123483.09999999,2020-07-31
17.09260000,17.09260000,18.20000000,18.20000000,14.80000000,14.80000000,15.38380000,15.38380000,51987798.59000000,51987798.59000000,2020-06-30
16.95100000,16.95100000,18.19540000,18.19540000,13.91290000,13.91290000,17.09160000,17.09160000,83664305.36000000,83664305.36000000,2020-05-31
12.54970000,12.54970000,18.13770000,18.13770000,11.96000000,11.96000000,16.95420000,16.95420000,118041230.55000000,118041230.55000000,2020-04-30
19.24810000,19.24810000,21.76280000,21.76280000,6.38000000,6.38000000,12.54510000,12.54510000,137539733.72999999,137539733.72999999,2020-03-31
18.26440000,18.26440000,27.19050000,27.19050000,17.70510000,17.70510000,19.23000000,19.23000000,80993103.39000000,80993103.39000000,2020-02-29
13.71590000,13.71590000,18.88000000,18.88000000,12.98000000,12.98000000,18.26440000,18.26440000,51701909.53000000,51701909.53000000,2020-01-31
15.70300000,15.70300000,15.88000000,15.88000000,12.11110000,12.11110000,13.71610000,13.71610000,38189532.45000000,38189532.45000000,2019-12-31
19.90870000,19.90870000,21.80000000,21.80000000,13.88000000,13.88000000,15.71180000,15.71180000,46441747.10000000,46441747.10000000,2019-11-30
15.84930000,15.84930000,21.23780000,21.23780000,14.85550000,14.85550000,19.90990000,19.90990000,53480728.98000000,53480728.98000000,2019-10-31
21.06020000,21.06020000,23.52130000,23.52130000,14.25550000,14.25550000,15.83490000,15.83490000,44740437.45000000,44740437.45000000,2019-09-30
27.73480000,27.73480000,31.87910000,31.87910000,20.88570000,20.88570000,21.06040000,21.06040000,43730003.73000000,43730003.73000000,2019-08-31
32.11410000,32.11410000,34.38390000,34.38390000,24.17090000,24.17090000,27.75000000,27.75000000,71835825.11000000,71835825.11000000,2019-07-31
32.91600000,32.91600000,39.59410000,39.59410000,28.71680000,28.71680000,32.11400000,32.11400000,93155800.73999999,93155800.73999999,2019-06-30
22.03000000,22.03000000,35.48880000,35.48880000,18.30000000,18.30000000,32.88620000,32.88620000,104145121.86000000,104145121.86000000,2019-05-31
17.52010000,17.52010000,25.49730000,25.49730000,16.25010000,16.25010000,22.03910000,22.03910000,83676534.62000000,83676534.62000000,2019-04-30
