open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
56950.56000000,56950.56000000,59053.55000000,59053.55000000,42000.30000000,42000.30000000,48477.90000000,48477.90000000,665478.30127800,665478.30127800,2021-12-15
61299.81000000,61299.81000000,69000.00000000,69000.00000000,53256.64000000,53256.64000000,56950.56000000,56950.56000000,1291900.10525000,1291900.10525000,2021-11-30
43820.01000000,43820.01000000,67000.00000000,67000.00000000,43283.03000000,43283.03000000,61299.80000000,61299.80000000,1565556.29262000,1565556.29262000,2021-10-31
47100.89000000,47100.89000000,52920.00000000,52920.00000000,39600.00000000,39600.00000000,43824.10000000,43824.10000000,1527799.51077000,1527799.51077000,2021-09-30
41461.84000000,41461.84000000,50500.00000000,50500.00000000,37332.70000000,37332.70000000,47100.89000000,47100.89000000,1635402.87425000,1635402.87425000,2021-08-31
35045.00000000,35045.00000000,42448.00000000,42448.00000000,29278.00000000,29278.00000000,41461.83000000,41461.83000000,1778463.26484000,1778463.26484000,2021-07-31
37253.82000000,37253.82000000,41330.00000000,41330.00000000,28805.00000000,28805.00000000,35045.00000000,35045.00000000,2901775.30592000,2901775.30592000,2021-06-30
57697.25000000,57697.25000000,59500.00000000,59500.00000000,30000.00000000,30000.00000000,37253.81000000,37253.81000000,3536245.25657000,3536245.25657000,2021-05-31
58739.46000000,58739.46000000,64854.00000000,64854.00000000,46930.00000000,46930.00000000,57694.27000000,57694.27000000,1993468.93801000,1993468.93801000,2021-04-30
45134.11000000,45134.11000000,61844.00000000,61844.00000000,44950.53000000,44950.53000000,58740.55000000,58740.55000000,2098808.02743000,2098808.02743000,2021-03-31
33092.97000000,33092.97000000,58352.80000000,58352.80000000,32296.16000000,32296.16000000,45135.66000000,45135.66000000,2518242.14852000,2518242.14852000,2021-02-28
28923.63000000,28923.63000000,41950.00000000,41950.00000000,28130.00000000,28130.00000000,33092.98000000,33092.98000000,3435639.25794000,3435639.25794000,2021-01-31
19695.87000000,19695.87000000,29300.00000000,29300.00000000,17572.33000000,17572.33000000,28923.63000000,28923.63000000,2495281.85622000,2495281.85622000,2020-12-31
13791.00000000,13791.00000000,19863.16000000,19863.16000000,13195.05000000,13195.05000000,19695.87000000,19695.87000000,2707064.91117000,2707064.91117000,2020-11-30
10776.59000000,10776.59000000,14100.00000000,14100.00000000,10374.00000000,10374.00000000,13791.00000000,13791.00000000,1592619.95449000,1592619.95449000,2020-10-31
11649.51000000,11649.51000000,12050.85000000,12050.85000000,9825.00000000,9825.00000000,10776.59000000,10776.59000000,1730389.16018000,1730389.16018000,2020-09-30
11335.46000000,11335.46000000,12468.00000000,12468.00000000,10518.50000000,10518.50000000,11649.51000000,11649.51000000,1891193.00713000,1891193.00713000,2020-08-31
9138.08000000,9138.08000000,11444.00000000,11444.00000000,8893.03000000,8893.03000000,11335.46000000,11335.46000000,1507827.21494000,1507827.21494000,2020-07-31
9448.27000000,9448.27000000,10380.00000000,10380.00000000,8833.00000000,8833.00000000,9138.55000000,9138.55000000,1504745.51792000,1504745.51792000,2020-06-30
8620.00000000,8620.00000000,10067.00000000,10067.00000000,8117.00000000,8117.00000000,9448.27000000,9448.27000000,2685340.07851000,2685340.07851000,2020-05-31
6412.14000000,6412.14000000,9460.00000000,9460.00000000,6150.11000000,6150.11000000,8620.00000000,8620.00000000,2528373.69112000,2528373.69112000,2020-04-30
8523.61000000,8523.61000000,9188.00000000,9188.00000000,3782.13000000,3782.13000000,6410.44000000,6410.44000000,3789768.91313000,3789768.91313000,2020-03-31
9351.71000000,9351.71000000,10500.00000000,10500.00000000,8445.00000000,8445.00000000,8523.61000000,8523.61000000,1609726.15456000,1609726.15456000,2020-02-29
7195.24000000,7195.24000000,9578.00000000,9578.00000000,6871.04000000,6871.04000000,9352.89000000,9352.89000000,1691323.13778000,1691323.13778000,2020-01-31
7540.63000000,7540.63000000,7750.00000000,7750.00000000,6435.00000000,6435.00000000,7195.23000000,7195.23000000,1307026.46794000,1307026.46794000,2019-12-31
9140.86000000,9140.86000000,9513.68000000,9513.68000000,6515.00000000,6515.00000000,7541.89000000,7541.89000000,1499118.77500000,1499118.77500000,2019-11-30
8289.97000000,8289.97000000,10370.00000000,10370.00000000,7300.00000000,7300.00000000,9140.85000000,9140.85000000,1446755.85472000,1446755.85472000,2019-10-31
9588.74000000,9588.74000000,10905.87000000,10905.87000000,7710.00000000,7710.00000000,8289.34000000,8289.34000000,1116856.47584000,1116856.47584000,2019-09-30
10080.53000000,10080.53000000,12330.70000000,12330.70000000,9320.00000000,9320.00000000,9587.47000000,9587.47000000,1201961.57632000,1201961.57632000,2019-08-31
10854.10000000,10854.10000000,13147.08000000,13147.08000000,9060.00000000,9060.00000000,10080.53000000,10080.53000000,1886176.06591000,1886176.06591000,2019-07-31
8555.00000000,8555.00000000,13970.00000000,13970.00000000,7444.58000000,7444.58000000,10854.10000000,10854.10000000,1689489.64733000,1689489.64733000,2019-06-30
5321.94000000,5321.94000000,9074.26000000,9074.26000000,5316.20000000,5316.20000000,8555.00000000,8555.00000000,1498409.89023000,1498409.89023000,2019-05-31
4102.44000000,4102.44000000,5600.00000000,5600.00000000,4067.00000000,4067.00000000,5320.81000000,5320.81000000,1126961.31510000,1126961.31510000,2019-04-30
