open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
0.21470000,0.21470000,0.22330000,0.22330000,0.13100000,0.13100000,0.18580000,0.18580000,25079361970.20000076,25079361970.20000076,2021-12-15
0.28000000,0.28000000,0.29730000,0.29730000,0.18600000,0.18600000,0.21470000,0.21470000,42644903820.30000305,42644903820.30000305,2021-11-30
0.20430000,0.20430000,0.34000000,0.34000000,0.20180000,0.20180000,0.28000000,0.28000000,84054119630.00000000,84054119630.00000000,2021-10-31
0.27820000,0.27820000,0.31990000,0.31990000,0.19400000,0.19400000,0.20420000,0.20420000,33751726730.59999847,33751726730.59999847,2021-09-30
0.20764000,0.20764000,0.35170000,0.35170000,0.19310000,0.19310000,0.27810000,0.27810000,73225694347.30000305,73225694347.30000305,2021-08-31
0.25390000,0.25390000,0.26140000,0.26140000,0.15988000,0.15988000,0.20765000,0.20765000,46857132169.80000305,46857132169.80000305,2021-07-31
0.32558000,0.32558000,0.44834000,0.44834000,0.16322000,0.16322000,0.25391000,0.25391000,84555408983.60000610,84555408983.60000610,2021-06-30
0.33746000,0.33746000,0.73995000,0.73995000,0.21111000,0.21111000,0.32557000,0.32557000,234613266540.00000000,234613266540.00000000,2021-05-31
0.05378350,0.05378350,0.45000000,0.45000000,0.05349990,0.05349990,0.33746000,0.33746000,362005872473.00000000,362005872473.00000000,2021-04-30
0.04814470,0.04814470,0.06367890,0.06367890,0.04765000,0.04765000,0.05376990,0.05376990,65472046697.00000000,65472046697.00000000,2021-03-31
0.03696230,0.03696230,0.08729700,0.08729700,0.02877000,0.02877000,0.04815820,0.04815820,345635710197.00000000,345635710197.00000000,2021-02-28
0.00467160,0.00467160,0.08750000,0.08750000,0.00460100,0.00460100,0.03700000,0.03700000,460786707752.00000000,460786707752.00000000,2021-01-31
0.00355970,0.00355970,0.00550000,0.00550000,0.00299690,0.00299690,0.00467090,0.00467090,50541315403.00000000,50541315403.00000000,2020-12-31
0.00256760,0.00256760,0.00429780,0.00429780,0.00245190,0.00245190,0.00356100,0.00356100,33563867021.00000000,33563867021.00000000,2020-11-30
0.00263610,0.00263610,0.00291150,0.00291150,0.00250100,0.00250100,0.00256660,0.00256660,14064293569.00000000,14064293569.00000000,2020-10-31
0.00320610,0.00320610,0.00327840,0.00327840,0.00252770,0.00252770,0.00263500,0.00263500,21089318024.00000000,21089318024.00000000,2020-09-30
0.00322040,0.00322040,0.00390000,0.00390000,0.00310000,0.00310000,0.00320730,0.00320730,30793101645.00000000,30793101645.00000000,2020-08-31
0.00231010,0.00231010,0.00559990,0.00559990,0.00227870,0.00227870,0.00322400,0.00322400,84187056679.00000000,84187056679.00000000,2020-07-31
0.00254920,0.00254920,0.00270000,0.00270000,0.00227000,0.00227000,0.00231850,0.00231850,3864389607.00000000,3864389607.00000000,2020-06-30
0.00242250,0.00242250,0.00269750,0.00269750,0.00224250,0.00224250,0.00255990,0.00255990,5605771784.00000000,5605771784.00000000,2020-05-31
0.00180000,0.00180000,0.00269040,0.00269040,0.00176590,0.00176590,0.00243300,0.00243300,5493055217.00000000,5493055217.00000000,2020-04-30
0.00222020,0.00222020,0.00253550,0.00253550,0.00113450,0.00113450,0.00180410,0.00180410,6340994337.00000000,6340994337.00000000,2020-03-31
0.00237760,0.00237760,0.00489000,0.00489000,0.00218620,0.00218620,0.00221530,0.00221530,10052307994.00000000,10052307994.00000000,2020-02-29
0.00201360,0.00201360,0.00258330,0.00258330,0.00194850,0.00194850,0.00237760,0.00237760,4012321664.00000000,4012321664.00000000,2020-01-31
0.00229200,0.00229200,0.00230410,0.00230410,0.00190000,0.00190000,0.00201350,0.00201350,3566211283.00000000,3566211283.00000000,2019-12-31
0.00258110,0.00258110,0.00278490,0.00278490,0.00208100,0.00208100,0.00229180,0.00229180,4022811494.00000000,4022811494.00000000,2019-11-30
0.00237910,0.00237910,0.00297400,0.00297400,0.00210000,0.00210000,0.00258440,0.00258440,7633114977.00000000,7633114977.00000000,2019-10-31
0.00245200,0.00245200,0.00281030,0.00281030,0.00193170,0.00193170,0.00237470,0.00237470,2804919794.00000000,2804919794.00000000,2019-09-30
0.00285710,0.00285710,0.00319980,0.00319980,0.00233900,0.00233900,0.00245280,0.00245280,2278712788.00000000,2278712788.00000000,2019-08-31
