open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
4630.25000000,4630.25000000,4778.75000000,4778.75000000,3503.68000000,3503.68000000,3878.31000000,3878.31000000,7517567.74380000,7517567.74380000,2021-12-15
4287.48000000,4287.48000000,4868.00000000,4868.00000000,3913.00000000,3913.00000000,4630.26000000,4630.26000000,12756119.36970000,12756119.36970000,2021-11-30
3000.62000000,3000.62000000,4460.47000000,4460.47000000,2969.07000000,2969.07000000,4287.21000000,4287.21000000,14410441.89500000,14410441.89500000,2021-10-31
3429.19000000,3429.19000000,4027.88000000,4027.88000000,2652.00000000,2652.00000000,3000.61000000,3000.61000000,17261458.33690000,17261458.33690000,2021-09-30
2531.10000000,2531.10000000,3476.00000000,3476.00000000,2442.32000000,2442.32000000,3429.20000000,3429.20000000,21436438.89130000,21436438.89130000,2021-08-31
2275.68000000,2275.68000000,2553.86000000,2553.86000000,1706.00000000,1706.00000000,2531.05000000,2531.05000000,21263142.44240000,21263142.44240000,2021-07-31
2706.15000000,2706.15000000,2891.95000000,2891.95000000,1700.48000000,1700.48000000,2275.68000000,2275.68000000,27539800.65400000,27539800.65400000,2021-06-30
2772.42000000,2772.42000000,4372.72000000,4372.72000000,1728.74000000,1728.74000000,2706.15000000,2706.15000000,49340730.68020000,49340730.68020000,2021-05-31
1919.37000000,1919.37000000,2798.30000000,2798.30000000,1885.02000000,1885.02000000,2772.42000000,2772.42000000,27220161.75530000,27220161.75530000,2021-04-30
1418.67000000,1418.67000000,1947.29000000,1947.29000000,1409.91000000,1409.91000000,1919.37000000,1919.37000000,23574009.12630000,23574009.12630000,2021-03-31
1312.45000000,1312.45000000,2042.34000000,2042.34000000,1269.99000000,1269.99000000,1419.18000000,1419.18000000,33561918.29260000,33561918.29260000,2021-02-28
736.42000000,736.42000000,1475.00000000,1475.00000000,714.29000000,714.29000000,1312.55000000,1312.55000000,59503044.01250000,59503044.01250000,2021-01-31
616.65000000,616.65000000,758.74000000,758.74000000,530.43000000,530.43000000,736.42000000,736.42000000,30451194.43340000,30451194.43340000,2020-12-31
386.44000000,386.44000000,623.00000000,623.00000000,370.23000000,370.23000000,616.66000000,616.66000000,36426105.33250000,36426105.33250000,2020-11-30
359.83000000,359.83000000,420.73000000,420.73000000,332.18000000,332.18000000,386.46000000,386.46000000,19292758.26130000,19292758.26130000,2020-10-31
433.80000000,433.80000000,488.84000000,488.84000000,308.42000000,308.42000000,359.83000000,359.83000000,34431117.99330000,34431117.99330000,2020-09-30
346.32000000,346.32000000,446.00000000,446.00000000,325.00000000,325.00000000,433.79000000,433.79000000,28769352.88700000,28769352.88700000,2020-08-31
225.59000000,225.59000000,349.45000000,349.45000000,222.87000000,222.87000000,346.33000000,346.33000000,20935176.05310000,20935176.05310000,2020-07-31
231.56000000,231.56000000,253.80000000,253.80000000,216.00000000,216.00000000,225.60000000,225.60000000,16073920.07730000,16073920.07730000,2020-06-30
206.07000000,206.07000000,247.00000000,247.00000000,176.00000000,176.00000000,231.57000000,231.57000000,24717586.81850000,24717586.81850000,2020-05-31
132.72000000,132.72000000,227.30000000,227.30000000,128.62000000,128.62000000,206.08000000,206.08000000,30622487.94290000,30622487.94290000,2020-04-30
217.29000000,217.29000000,251.93000000,251.93000000,86.00000000,86.00000000,132.72000000,132.72000000,40100166.98950000,40100166.98950000,2020-03-31
179.94000000,179.94000000,288.41000000,288.41000000,179.10000000,179.10000000,217.21000000,217.21000000,21153996.14580000,21153996.14580000,2020-02-29
129.16000000,129.16000000,187.00000000,187.00000000,125.88000000,125.88000000,179.99000000,179.99000000,12817879.25720000,12817879.25720000,2020-01-31
151.43000000,151.43000000,152.49000000,152.49000000,116.26000000,116.26000000,129.16000000,129.16000000,8781775.78331000,8781775.78331000,2019-12-31
182.19000000,182.19000000,195.09000000,195.09000000,131.45000000,131.45000000,151.37000000,151.37000000,10175750.16430000,10175750.16430000,2019-11-30
180.89000000,180.89000000,197.74000000,197.74000000,153.45000000,153.45000000,182.18000000,182.18000000,14105916.59040000,14105916.59040000,2019-10-31
171.52000000,171.52000000,223.94000000,223.94000000,150.03000000,150.03000000,180.85000000,180.85000000,13648082.36990000,13648082.36990000,2019-09-30
218.42000000,218.42000000,239.15000000,239.15000000,163.61000000,163.61000000,171.57000000,171.57000000,6963710.33197000,6963710.33197000,2019-08-31
292.89000000,292.89000000,318.19000000,318.19000000,191.84000000,191.84000000,218.42000000,218.42000000,11176590.65070000,11176590.65070000,2019-07-31
267.90000000,267.90000000,366.80000000,366.80000000,226.56000000,226.56000000,292.70000000,292.70000000,12433954.40440000,12433954.40440000,2019-06-30
161.85000000,161.85000000,288.62000000,288.62000000,157.55000000,157.55000000,267.90000000,267.90000000,18976801.36180000,18976801.36180000,2019-05-31
141.41000000,141.41000000,185.87000000,185.87000000,139.57000000,139.57000000,161.83000000,161.83000000,12829462.34070000,12829462.34070000,2019-04-30
