open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
59.59000000,59.59000000,78.29000000,78.29000000,49.65000000,49.65000000,60.04000000,60.04000000,125166967.30500001,125166967.30500001,2021-12-15
42.90000000,42.90000000,60.08000000,60.08000000,37.82000000,37.82000000,59.59000000,59.59000000,124961445.54300000,124961445.54300000,2021-11-30
38.84000000,38.84000000,49.54000000,49.54000000,34.86000000,34.86000000,42.89000000,42.89000000,179857746.17500001,179857746.17500001,2021-10-31
31.54000000,31.54000000,45.01000000,45.01000000,22.95000000,22.95000000,38.83000000,38.83000000,296174538.53200001,296174538.53200001,2021-09-30
10.73400000,10.73400000,36.89000000,36.89000000,10.52300000,10.52300000,31.57000000,31.57000000,301003733.20200002,301003733.20200002,2021-08-31
6.56800000,6.56800000,11.80000000,11.80000000,5.50300000,5.50300000,10.73500000,10.73500000,303101073.43199998,303101073.43199998,2021-07-31
6.54700000,6.54700000,7.86900000,7.86900000,4.51600000,4.51600000,6.56500000,6.56500000,355493375.57900000,355493375.57900000,2021-06-30
16.68900000,16.68900000,19.19900000,19.19900000,3.91000000,3.91000000,6.54600000,6.54600000,559683395.37399995,559683395.37399995,2021-05-31
18.67090000,18.67090000,19.60940000,19.60940000,11.65010000,11.65010000,16.68900000,16.68900000,198609389.12900001,198609389.12900001,2021-04-30
5.35110000,5.35110000,22.40000000,22.40000000,5.32800000,5.32800000,18.66310000,18.66310000,321491955.66000003,321491955.66000003,2021-03-31
1.45780000,1.45780000,8.47000000,8.47000000,1.41600000,1.41600000,5.35310000,5.35310000,658611843.47000003,658611843.47000003,2021-02-28
0.65390000,0.65390000,1.71000000,1.71000000,0.61500000,0.61500000,1.45800000,1.45800000,521157130.69999999,521157130.69999999,2021-01-31
0.39990000,0.39990000,0.70900000,0.70900000,0.38070000,0.38070000,0.65400000,0.65400000,236228006.22999999,236228006.22999999,2020-12-31
0.30310000,0.30310000,0.43290000,0.43290000,0.27330000,0.27330000,0.39980000,0.39980000,112362925.45000000,112362925.45000000,2020-11-30
0.33460000,0.33460000,0.34020000,0.34020000,0.28700000,0.28700000,0.30320000,0.30320000,42480670.50000000,42480670.50000000,2020-10-31
0.51050000,0.51050000,0.51060000,0.51060000,0.28790000,0.28790000,0.33480000,0.33480000,92711781.75000000,92711781.75000000,2020-09-30
