open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
21.25000000,21.25000000,23.05000000,23.05000000,13.18000000,13.18000000,15.04000000,15.04000000,35720968.05500000,35720968.05500000,2021-12-15
24.99000000,24.99000000,28.48000000,28.48000000,18.47000000,18.47000000,21.25000000,21.25000000,58364254.29000000,58364254.29000000,2021-11-30
23.53000000,23.53000000,28.31000000,28.31000000,22.30000000,22.30000000,24.98000000,24.98000000,73090446.95999999,73090446.95999999,2021-10-31
29.37000000,29.37000000,31.41000000,31.41000000,17.73000000,17.73000000,23.53000000,23.53000000,117002567.91800000,117002567.91800000,2021-09-30
21.76400000,21.76400000,31.25700000,31.25700000,20.62400000,20.62400000,29.38000000,29.38000000,84305932.29899999,84305932.29899999,2021-08-31
19.27900000,19.27900000,23.45600000,23.45600000,14.01300000,14.01300000,21.76700000,21.76700000,86719202.38600001,86719202.38600001,2021-07-31
28.23900000,28.23900000,29.38200000,29.38200000,13.93000000,13.93000000,19.27800000,19.27800000,89214227.46400000,89214227.46400000,2021-06-30
40.64600000,40.64600000,45.00000000,45.00000000,13.00000000,13.00000000,28.23900000,28.23900000,183972866.60400000,183972866.60400000,2021-05-31
28.07760000,28.07760000,44.00000000,44.00000000,26.97870000,26.97870000,40.62400000,40.62400000,134635635.65099999,134635635.65099999,2021-04-30
22.21520000,22.21520000,36.80000000,36.80000000,22.05270000,22.05270000,28.03160000,28.03160000,133419937.31000000,133419937.31000000,2021-03-31
17.73350000,17.73350000,32.99900000,32.99900000,16.66790000,16.66790000,22.20980000,22.20980000,208815493.65000001,208815493.65000001,2021-02-28
5.15000000,5.15000000,20.56120000,20.56120000,4.39040000,4.39040000,17.72460000,17.72460000,371509755.98000002,371509755.98000002,2021-01-31
3.77650000,3.77650000,5.29000000,5.29000000,2.91000000,2.91000000,5.15010000,5.15010000,238698980.18000001,238698980.18000001,2020-12-31
2.26480000,2.26480000,4.48570000,4.48570000,1.75630000,1.75630000,3.78240000,3.78240000,471230616.55000001,471230616.55000001,2020-11-30
4.15540000,4.15540000,4.51400000,4.51400000,2.23300000,2.23300000,2.26620000,2.26620000,311787322.88999999,311787322.88999999,2020-10-31
