open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
37.96000000,37.96000000,38.78000000,38.78000000,24.35000000,24.35000000,26.20000000,26.20000000,153514531.75000000,153514531.75000000,2021-12-15
42.78000000,42.78000000,55.09000000,55.09000000,32.21000000,32.21000000,37.95000000,37.95000000,322155563.48900002,322155563.48900002,2021-11-30
28.61000000,28.61000000,46.39000000,46.39000000,28.50000000,28.50000000,42.77000000,42.77000000,390162018.21700001,390162018.21700001,2021-10-31
31.34000000,31.34000000,38.77000000,38.77000000,22.66000000,22.66000000,28.62000000,28.62000000,556145972.10399997,556145972.10399997,2021-09-30
16.77900000,16.77900000,31.95000000,31.95000000,16.53900000,16.53900000,31.35000000,31.35000000,505905938.11500001,505905938.11500001,2021-08-31
16.40000000,16.40000000,17.66800000,17.66800000,10.37300000,10.37300000,16.78400000,16.78400000,381665563.86799997,381665563.86799997,2021-07-31
23.27300000,23.27300000,28.60000000,28.60000000,13.00000000,13.00000000,16.40200000,16.40200000,506119390.90300000,506119390.90300000,2021-06-30
36.51100000,36.51100000,49.78000000,49.78000000,13.63800000,13.63800000,23.26400000,23.26400000,792868441.91100001,792868441.91100001,2021-05-31
37.07840000,37.07840000,48.36000000,48.36000000,26.63550000,26.63550000,36.52200000,36.52200000,335727098.25400001,335727098.25400001,2021-04-30
33.79640000,33.79640000,40.10000000,40.10000000,27.45860000,27.45860000,37.07650000,37.07650000,284242872.54000002,284242872.54000002,2021-03-31
16.11530000,16.11530000,42.28480000,42.28480000,15.58070000,15.58070000,33.80000000,33.80000000,532078044.02999997,532078044.02999997,2021-02-28
9.26200000,9.26200000,19.40000000,19.40000000,7.16420000,7.16420000,16.11280000,16.11280000,908634444.44000006,908634444.44000006,2021-01-31
5.37800000,5.37800000,9.51000000,9.51000000,4.54000000,4.54000000,9.26190000,9.26190000,302844432.31999999,302844432.31999999,2020-12-31
4.18330000,4.18330000,6.08570000,6.08570000,3.88420000,3.88420000,5.37670000,5.37670000,268356318.28999999,268356318.28999999,2020-11-30
4.34590000,4.34590000,4.95000000,4.95000000,3.60000000,3.60000000,4.18540000,4.18540000,187625339.46000001,187625339.46000001,2020-10-31
6.27120000,6.27120000,6.86190000,6.86190000,3.53210000,3.53210000,4.34580000,4.34580000,372190799.54000002,372190799.54000002,2020-09-30
