open (USD),1b. open (USD),high (USD),2b. high (USD),low (USD),3b. low (USD),close (USD),4b. close (USD), volume,market cap (USD),date
0.99840000,0.99840000,1.01730000,1.01730000,0.60000000,0.60000000,0.81070000,0.81070000,6311295848.03999996,6311295848.03999996,2021-12-15
1.11280000,1.11280000,1.34930000,1.34930000,0.88250000,0.88250000,0.99830000,0.99830000,12427758072.00000000,12427758072.00000000,2021-11-30
0.95350000,0.95350000,1.23000000,1.23000000,0.94430000,0.94430000,1.11280000,1.11280000,13569693703.70000076,13569693703.70000076,2021-10-31
1.18560000,1.18560000,1.41510000,1.41510000,0.85820000,0.85820000,0.95330000,0.95330000,14520312246.20000076,14520312246.20000076,2021-09-30
0.74610000,0.74610000,1.35000000,1.35000000,0.69520000,0.69520000,1.18560000,1.18560000,19146044440.40000153,19146044440.40000153,2021-08-31
0.70620000,0.70620000,0.76970000,0.76970000,0.51570000,0.51570000,0.74600000,0.74600000,12413298052.89999962,12413298052.89999962,2021-07-31
1.04090000,1.04090000,1.10000000,1.10000000,0.50900000,0.50900000,0.70630000,0.70630000,19414283343.79999924,19414283343.79999924,2021-06-30
1.59890000,1.59890000,1.76580000,1.76580000,0.65000000,0.65000000,1.04090000,1.04090000,39720655579.19999695,39720655579.19999695,2021-05-31
0.56980000,0.56980000,1.96689000,1.96689000,0.54864000,0.54864000,1.59880000,1.59880000,49139441419.80000305,49139441419.80000305,2021-04-30
0.41570000,0.41570000,0.60000000,0.60000000,0.41207000,0.41207000,0.56982000,0.56982000,21854419908.29999924,21854419908.29999924,2021-03-31
0.49516000,0.49516000,0.75500000,0.75500000,0.34010000,0.34010000,0.41565000,0.41565000,45088596364.50000000,45088596364.50000000,2021-02-28
0.21953000,0.21953000,0.51780000,0.51780000,0.21084000,0.21084000,0.49507000,0.49507000,43010851037.19999695,43010851037.19999695,2021-01-31
0.66378000,0.66378000,0.68100000,0.68100000,0.17351000,0.17351000,0.21959000,0.21959000,41486760832.80000305,41486760832.80000305,2020-12-31
0.23960000,0.23960000,0.78068000,0.78068000,0.22772000,0.22772000,0.66417000,0.66417000,21961294136.79999924,21961294136.79999924,2020-11-30
0.24172000,0.24172000,0.26357000,0.26357000,0.22829000,0.22829000,0.23968000,0.23968000,4889380415.10000038,4889380415.10000038,2020-10-31
0.28115000,0.28115000,0.30400000,0.30400000,0.21944000,0.21944000,0.24171000,0.24171000,5247413190.89999962,5247413190.89999962,2020-09-30
0.25938000,0.25938000,0.32689000,0.32689000,0.24760000,0.24760000,0.28115000,0.28115000,10548893588.50000000,10548893588.50000000,2020-08-31
0.17533000,0.17533000,0.26042000,0.26042000,0.17200000,0.17200000,0.25939000,0.25939000,6007812785.10000038,6007812785.10000038,2020-07-31
0.20241000,0.20241000,0.21470000,0.21470000,0.16900000,0.16900000,0.17533000,0.17533000,2950092000.90000010,2950092000.90000010,2020-06-30
0.21135000,0.21135000,0.22667000,0.22667000,0.17800000,0.17800000,0.20245000,0.20245000,4027279018.09999990,4027279018.09999990,2020-05-31
0.17359000,0.17359000,0.23590000,0.23590000,0.16783000,0.16783000,0.21135000,0.21135000,4616526273.50000000,4616526273.50000000,2020-04-30
0.22897000,0.22897000,0.24629000,0.24629000,0.10129000,0.10129000,0.17353000,0.17353000,8903293506.50000000,8903293506.50000000,2020-03-31
0.23947000,0.23947000,0.34676000,0.34676000,0.22271000,0.22271000,0.22892000,0.22892000,7128673325.19999981,7128673325.19999981,2020-02-29
0.19285000,0.19285000,0.25456000,0.25456000,0.18450000,0.18450000,0.23946000,0.23946000,3904624780.40000010,3904624780.40000010,2020-01-31
0.22549000,0.22549000,0.23200000,0.23200000,0.17500000,0.17500000,0.19295000,0.19295000,2175034489.19999981,2175034489.19999981,2019-12-31
0.29459000,0.29459000,0.31490000,0.31490000,0.20013000,0.20013000,0.22550000,0.22550000,2893450142.00000000,2893450142.00000000,2019-11-30
0.25659000,0.25659000,0.31200000,0.31200000,0.24159000,0.24159000,0.29452000,0.29452000,3766988684.00000000,3766988684.00000000,2019-10-31
0.25747000,0.25747000,0.32631000,0.32631000,0.21333000,0.21333000,0.25660000,0.25660000,3148158833.09999990,3148158833.09999990,2019-09-30
0.31950000,0.31950000,0.33100000,0.33100000,0.24300000,0.24300000,0.25747000,0.25747000,1772167773.09999990,1772167773.09999990,2019-08-31
0.39637000,0.39637000,0.42298000,0.42298000,0.28600000,0.28600000,0.31959000,0.31959000,2815323572.59999990,2815323572.59999990,2019-07-31
0.43849000,0.43849000,0.50999000,0.50999000,0.37000000,0.37000000,0.39620000,0.39620000,4662373312.39999962,4662373312.39999962,2019-06-30
0.30855000,0.30855000,0.47900000,0.47900000,0.29061000,0.29061000,0.43851000,0.43851000,5131023824.10000038,5131023824.10000038,2019-05-31
0.30889000,0.30889000,0.37999000,0.37999000,0.28455000,0.28455000,0.30870000,0.30870000,2906182663.19999981,2906182663.19999981,2019-04-30
