,country,region,population,code_2,code_3,jul_1,aug_1,sep_1,oct_1,nov_1,dec_1,cases_1m_pop,cases_active,cases_critical,cases_new,cases_recovered,cases_total,deaths_1m_pop,death_total
9,Azerbaijan,Asia,10139196,AZ,AZE,4974,5023,5636,6525,7074,7856,59465.0,15349.0,0.0,+577,587338.0,610895,799.0,8208.0
8,Austria,Europe,8976467,AT,AUT,10508,10528,10583,10810,11114,12064,138074.0,38964.0,477.0,+2528,1201459.0,1253961,1491.0,13538.0
7,Australia,Oceania,25917896,AU,AUS,910,923,1006,1289,1734,2006,9994.0,34636.0,112.0,+4489,222384.0,259174,83.0,2154.0
6,Armenia,Asia,2963900,AM,ARM,4517,4619,4857,5339,6379,7610,115719.0,6803.0,0.0,+137,329128.0,343845,2663.0,7914.0
5,Argentina,Americas,45808747,AR,ARG,93668,105586,111607,115179,115950,116554,117785.0,40515.0,795.0,+5337,5237599.0,5395044,2553.0,116930.0
4,Angola,Africa,32097671,AO,AGO,900,1011,1217,1537,1710,1733,1923.0,526.0,3.0,+148,63822.0,66086,51.0,1738.0
3,Andorra,Europe,78015,AD,AND,127,128,130,130,130,131,271957.0,1761.0,31.0,+513,19164.0,21062,1769.0,137.0
2,Algeria,Africa,44700000,DZ,DZA,3716,4254,5269,5812,5920,6071,4773.0,60816.0,22.0,+243,147829.0,214835,138.0,6190.0
1,Albania,Europe,2829741,AL,ALB,2456,2457,2498,2698,2924,3096,71662.0,5178.0,23.0,+120,197547.0,205897,1104.0,3172.0
0,Afghanistan,Asia,32890171,AF,AFG,4962,6737,7123,7206,7280,7308,3925.0,5187.0,1124.0,+19,145294.0,157816,182.0,7335.0
